0,0,0
4,0.2,-0.068
2004,0.2,-0.068
4004,0.2,-0.068
6004,0.2,-0.068
8004,0.2,-0.068
9004,0.2,-0.068
9024,0.4,-0.134
11024,0.4,-0.134
13024,0.4,-0.134
15024,0.4,-0.134
17024,0.4,-0.134
18024,0.4,-0.134
18224,0.6,-0.2
20224,0.6,-0.2
22224,0.6,-0.2
24224,0.6,-0.2
26224,0.6,-0.2
27224,0.6,-0.2
27424,0.4,-0.134
27444,0.2,-0.068
27448,0,0
27452,-0.2,0.066
29452,-0.2,0.066
31452,-0.2,0.066
33452,-0.2,0.066
35452,-0.2,0.066
36452,-0.2,0.066
36472,-0.4,0.132
38472,-0.4,0.132
40472,-0.4,0.132
42472,-0.4,0.132
44472,-0.4,0.132
45472,-0.4,0.132
45672,-0.6,0.2
47672,-0.6,0.2
49672,-0.6,0.2
51672,-0.6,0.2
53672,-0.6,0.2
54672,-0.6,0.2
54872,-0.4,0.132
54892,-0.2,0.066
54896,0,0
