0,0,0
200,0.2,-0.068
2200,0.2,-0.068
4200,0.2,-0.068
6200,0.2,-0.068
8200,0.2,-0.068
9200,0.2,-0.068
9220,0.4,-0.134
11220,0.4,-0.134
13220,0.4,-0.134
15220,0.4,-0.134
17220,0.4,-0.134
18220,0.4,-0.134
18224,0.6,-0.2
20224,0.6,-0.2
22224,0.6,-0.2
24224,0.6,-0.2
26224,0.6,-0.2
27224,0.6,-0.2
27228,0.4,-0.134
27248,0.2,-0.068
27448,0,0
27648,-0.2,0.066
29648,-0.2,0.066
31648,-0.2,0.066
33648,-0.2,0.066
35648,-0.2,0.066
36648,-0.2,0.066
36668,-0.4,0.132
38668,-0.4,0.132
40668,-0.4,0.132
42668,-0.4,0.132
44668,-0.4,0.132
45668,-0.4,0.132
45672,-0.6,0.2
47672,-0.6,0.2
49672,-0.6,0.2
51672,-0.6,0.2
53672,-0.6,0.2
54672,-0.6,0.2
54676,-0.4,0.132
54696,-0.2,0.066
54896,0,0
