0,0,0
200,0.2,0.066
2200,0.2,0.066
4200,0.2,0.066
6200,0.2,0.066
8200,0.2,0.066
9200,0.2,0.066
9220,0.4,0.132
11220,0.4,0.132
13220,0.4,0.132
15220,0.4,0.132
17220,0.4,0.132
18220,0.4,0.132
18224,0.6,0.2
20224,0.6,0.2
22224,0.6,0.2
24224,0.6,0.2
26224,0.6,0.2
27224,0.6,0.2
27228,0.4,0.132
27248,0.2,0.066
27448,0,0
27648,-0.2,-0.068
29648,-0.2,-0.068
31648,-0.2,-0.068
33648,-0.2,-0.068
35648,-0.2,-0.068
36648,-0.2,-0.068
36668,-0.4,-0.134
38668,-0.4,-0.134
40668,-0.4,-0.134
42668,-0.4,-0.134
44668,-0.4,-0.134
45668,-0.4,-0.134
45672,-0.6,-0.2
47672,-0.6,-0.2
49672,-0.6,-0.2
51672,-0.6,-0.2
53672,-0.6,-0.2
54672,-0.6,-0.2
54676,-0.4,-0.134
54696,-0.2,-0.068
54896,0,0
